"Issue","LeadTime","IssueType"
"1",31.1,"Defect"
"4",12.07,"Defect"
"19",11.81,"Story"
"20",5.5,"Defect"
"23",21.89,"Story"
"39",17.87,"Story"
"43",20.78,"Story"
"49",38.03,"Story"
"57",2.5,"Story"
"87",4.5,"Story"
"91",5.5,"Story"
"155",30.87,"Story"
"201",4.5,"Story"
"211",13.73,"Story"
"250",15.84,"Story"
"257",2.5,"Story"
"261",41.04,"Story"
"273",28.68,"Story"
"277",5.5,"Story"
"290",8.85,"Story"
"291",6.01,"Story"
"292",8.02,"Story"
"293",8.02,"Story"
"294",6.01,"Story"
"307",3.73,"Story"
"310",49.91,"Story"
"312",21.26,"Story"
"313",21.26,"Story"
"318",5.5,"Defect"
"327",37.97,"Story"
"331",6.75,"Story"
"336",8.18,"Defect"
"337",3.19,"Defect"
"338",9.97,"Defect"
"341",1.98,"Story"
"344",1.94,"Defect"
"345",5.5,"Story"
"346",12.75,"Defect"
"349",8.01,"Story"
"351",31.02,"Defect"
"353",6.71,"Defect"
"354",3.86,"Story"
"357",40.77,"Story"
"358",4.04,"Story"
"360",3.81,"Story"
"361",7.02,"Story"
"362",3.77,"Story"
"365",4.5,"Story"
"366",29,"Story"
"374",41.11,"Story"
"378",36.81,"Story"
"384",13.79,"Story"
"387",42.03,"Story"
"390",3.83,"Defect"
"393",11.13,"Defect"
"394",22.82,"Story"
"399",6.97,"Defect"
"400",13.13,"Defect"
"403",7.06,"Story"
"405",2.08,"Defect"
"414",2.01,"Story"
"415",2,"Defect"
"416",16.82,"Story"
"417",5.5,"Story"
"418",30.84,"Story"
"419",23.13,"Story"
"420",32.02,"Story"
"422",2.5,"Story"
"423",1.71,"Defect"
"427",30.96,"Story"
"432",15.83,"Defect"
"433",15.83,"Defect"
"434",15.83,"Defect"
"435",5,"Defect"
"436",20.78,"Story"
"438",13.98,"Story"
"440",12.09,"Story"
"443",12.73,"Story"
"445",4.5,"Story"
"447",7.01,"Defect"
"449",30.72,"Defect"
"450",5.5,"Story"
"455",5.86,"Story"
"456",5.96,"Defect"
"459",1.02,"Defect"
"461",15.2,"Story"
"462",14.99,"Story"
"463",14.23,"Story"
"464",13.94,"Story"
"465",15.95,"Story"
"467",15.2,"Story"
"471",12.76,"Story"
"472",8.13,"Defect"
"474",5.5,"Defect"
"476",13.91,"Story"
"505",1.8,"Defect"
"524",40.14,"Story"
"527",30.92,"Story"
"528",12.16,"Defect"
"534",27.95,"Defect"
"535",4.5,"Story"
"536",28.03,"Defect"
"547",23.95,"Story"
"548",5.93,"Defect"
"552",12.28,"Defect"
"558",5.5,"Story"
"560",10.04,"Story"
"566",3.93,"Defect"
"567",10.28,"Story"
"576",5.5,"Story"
"584",46.97,"Story"
"593",24.09,"Story"
"598",27.13,"Story"
"601",2.74,"Story"
"606",5.5,"Defect"
"613",5.5,"Story"
"615",13.76,"Defect"
"616",6.7,"Story"
"619",7.06,"Defect"
"622",7.06,"Defect"
"624",34.09,"Story"
"625",37.8,"Defect"
"630",3.97,"Defect"
"635",17.78,"Story"
"637",21.83,"Defect"
"639",41.99,"Story"
"640",36.73,"Defect"
"643",40.98,"Defect"
"644",17.02,"Defect"
"645",17.02,"Defect"
"648",1.13,"Defect"
"651",0.98,"Defect"
"652",3.92,"Story"
"655",9.71,"Story"
"657",3.97,"Defect"
"662",9.64,"Defect"
"663",28.02,"Defect"
"664",26.85,"Defect"
"677",23.04,"Defect"
"687",2.04,"Defect"
"695",2.15,"Defect"
"698",1.05,"Defect"
"703",0.85,"Defect"
"704",48.77,"Defect"
"705",13.82,"Defect"
"709",0.82,"Defect"
"711",8.01,"Defect"
"713",0.71,"Defect"
"714",40.99,"Story"
"715",6.75,"Defect"
"716",3.01,"Defect"
"717",3.02,"Defect"
"719",4.5,"Story"
"721",4.5,"Story"
"724",20.91,"Story"
"725",1.68,"Defect"
"729",4.01,"Defect"
"732",0.01,"Defect"
"734",8.16,"Defect"
"735",23.15,"Story"
"736",3.84,"Story"
"738",1.84,"Story"
"745",3.73,"Story"
"746",1.08,"Story"
"748",22.97,"Defect"
"749",12.87,"Defect"
"750",9.35,"Story"
"756",8.02,"Defect"
"759",1.65,"Defect"
"762",7.67,"Story"
"767",8.9,"Story"
"771",9.88,"Story"
"781",24.03,"Story"
"782",24.03,"Story"
"783",24.03,"Story"
"785",24.03,"Story"
"787",17.09,"Story"
"789",4.05,"Defect"
"790",15,"Story"
"794",20.94,"Defect"
"800",7.99,"Defect"
"801",7.95,"Defect"
"803",6.88,"Defect"
"806",16.82,"Defect"
"807",14.76,"Story"
"812",15.09,"Story"
"818",2.15,"Defect"
"819",10.08,"Story"
"825",6.07,"Defect"
"831",3.27,"Story"
"832",3.09,"Defect"
"833",29.23,"Story"
"836",16.9,"Story"
"838",6.79,"Defect"
"839",6.77,"Defect"
"840",6.69,"Story"
"841",6.79,"Defect"
"843",6.75,"Story"
"844",1.28,"Defect"
"846",5.96,"Defect"
"852",9.14,"Defect"
"853",9.14,"Defect"
"860",41,"Story"
"862",23.69,"Story"
"863",9.98,"Story"
"864",7.92,"Story"
"865",30.27,"Story"
"867",24.01,"Story"
"868",24.01,"Defect"
"875",15.95,"Defect"
"876",7.97,"Story"
"878",1.96,"Story"
"885",5.08,"Story"
"892",28.25,"Story"
"903",26.96,"Story"
"904",29.59,"Story"
"912",16.08,"Defect"
"917",1.21,"Defect"
"918",5.24,"Defect"
"921",19.06,"Story"
"922",5.07,"Story"
"924",11.02,"Story"
"927",0.06,"Defect"
"928",0.07,"Story"
"931",30.92,"Story"
"932",31.87,"Story"
"935",28.17,"Story"
"939",13.93,"Story"
"940",4.93,"Defect"
"942",2.92,"Story"
"943",5.78,"Defect"
"945",1.99,"Story"
"946",5.06,"Story"
"949",1.17,"Defect"
"953",27.29,"Story"
"956",18.97,"Story"
"957",32.24,"Story"
"959",22.94,"Story"
"960",15.99,"Story"
"961",10.95,"Story"
"963",31.9,"Defect"
"964",3.12,"Story"
"972",2.05,"Story"
"980",11.78,"Story"
"982",8.93,"Story"
"983",14.72,"Story"
"984",26.99,"Story"
"986",3.9,"Story"
"989",9.22,"Defect"
"995",2.03,"Story"
"1001",10.66,"Story"
"1002",6.86,"Story"
"1003",8.18,"Story"
"1005",7.9,"Defect"
"1007",11.18,"Defect"
"1009",13.95,"Defect"
"1011",11.61,"Defect"
"1012",11.71,"Story"
"1015",8.24,"Story"
"1018",6.86,"Defect"
"1023",8.08,"Defect"
"1028",0.67,"Story"
"1037",0.13,"Defect"
"1038",1.07,"Defect"
"1039",1.09,"Story"
"1041",0.89,"Story"
"1042",0.88,"Story"
"1043",0.08,"Defect"
"1046",0.97,"Defect"
"1055",12.99,"Story"
"1057",0.78,"Defect"
"1060",4.25,"Story"
"1067",4.29,"Defect"
"1068",4.22,"Story"
"1069",4.21,"Story"
"1070",4.03,"Story"
"1071",10.9,"Story"
"1075",0.23,"Defect"
"1087",5.96,"Defect"
"1091",0.03,"Defect"
"1094",7.19,"Story"
"1099",6.93,"Defect"
"1102",0.01,"Defect"
"1106",3.03,"Story"
"1108",1.98,"Defect"
"1111",2.92,"Story"
